,rooms,type,meters,district,price,price_per_meter,terms_of_transaction,mortgage,floor 1,floor 2,living_area,window_view,repair ,type_of_house,year_at_home,parking,address,hospital_info,eat_info,school_info,average_time,toilet,balcony,elevators,service lift
192,1,квартира,31.4,р-н Красногвардейский,4550000.0,144904.0,свободная продажа,возможна,17.0,23.0,18.0,Во двор,Косметический,Панельный,2023.0,Многоуровневая,"Санкт-Петербург, дор. Муринская, 8к4",27,125,5,14.0,0.0,1.0,2,1
193,2,квартира,48.0,р-н Красносельский,6100000.0,127083.0,свободная продажа,возможна,5.0,9.0,31.0,,Без ремонта,Панельный,1970.0,Наземная,"Санкт-Петербург, ул. Партизана Германа, 28К2",7,35,0,9.666666666666666,1.0,1.0,1,0
194,1,квартира,51.3,р-н Пушкинский,6299000.0,122788.0,свободная продажа,возможна,5.0,12.0,19.9,На улицу и двор,Евроремонт,Панельный,2013.0,,"Санкт-Петербург, Московское ш., 246А",2,6,0,14.0,1.0,1.0,1,1
195,1,квартира,31.5,р-н Калининский,4850000.0,153968.0,свободная продажа,возможна,1.0,5.0,16.6,На улицу,Без ремонта,Блочный,1964.0,Наземная,"Санкт-Петербург, Бестужевская ул., 26",12,56,3,8.333333333333334,1.0,0.0,0,0
196,2,квартира,46.4,р-н Невский,6100000.0,131466.0,свободная продажа,возможна,1.0,5.0,29.4,Во двор,Без ремонта,Панельный,1963.0,Наземная,"Санкт-Петербург, Дальневосточный просп., 66К1",12,95,1,5.333333333333333,2.0,0.0,0,0
197,2,квартира,45.3,р-н Красносельский,5900000.0,130243.0,свободная продажа,возможна,5.0,5.0,31.3,Во двор,Косметический,,1971.0,Наземная,"Санкт-Петербург, ул. Добровольцев, 62К3",5,29,0,10.666666666666666,1.0,1.0,0,0
198,1,квартира,32.4,р-н Приморский,7000000.0,216049.0,свободная продажа,возможна,8.0,23.0,16.6,Во двор,Евроремонт,Монолитный,2017.0,Наземная,"Санкт-Петербург, Комендантский просп., 67",16,61,9,9.333333333333334,0.0,1.0,2,2
199,1,квартира,31.0,р-н Приморский,7000000.0,225806.0,свободная продажа,возможна,18.0,25.0,15.0,Во двор,Евроремонт,,2017.0,Наземная,"Санкт-Петербург, аллея Арцеуловская, 23к1",12,53,8,10.666666666666666,1.0,1.0,2,1
200,1,квартира,36.0,р-н Невский,7100000.0,197222.0,свободная продажа,возможна,14.0,16.0,18.1,Во двор,Косметический,,1988.0,Наземная,"Санкт-Петербург, ул. Коллонтай, 19К4",28,143,17,6.666666666666667,1.0,1.0,2,0
201,1,квартира,37.4,р-н Выборгский,7100000.0,189840.0,свободная продажа,возможна,12.0,27.0,16.4,На улицу,Евроремонт,Кирпичный,2012.0,,"Санкт-Петербург, ул. Николая Рубцова, 12к1",9,74,2,10.666666666666666,1.0,1.0,1,1
202,3,квартира,73.0,р-н Петродворцовый,7200000.0,98630.0,альтернатива,возможна,1.0,8.0,55.4,Во двор,Косметический,Кирпичный,1983.0,,"Санкт-Петербург, ул. Шахматова, 4к2",3,7,0,35.0,1.0,0.0,1,1
203,1,квартира,38.9,р-н Невский,7170000.0,184319.0,свободная продажа,возможна,18.0,27.0,11.7,Во двор,Дизайнерский,Монолитно-кирпичный,2019.0,Подземная,"Санкт-Петербург, просп. Советский, 36к2",2,9,0,9.666666666666666,1.0,1.0,3,0
204,2,квартира,46.0,р-н Невский,7200000.0,156522.0,альтернатива,возможна,5.0,5.0,28.2,Во двор,Евроремонт,Панельный,1962.0,Наземная,"Санкт-Петербург, Народная ул., 59",10,73,1,5.666666666666667,1.0,0.0,0,0
205,1,квартира,37.2,р-н Пушкинский,7200000.0,193548.0,свободная продажа,,7.0,9.0,16.6,На улицу,,Монолитный,2019.0,,"Санкт-Петербург, Школьная ул., 17",2,10,0,9.0,1.0,1.0,1,0
